"id","corpus","area","title","url","year","source_type","priority","status","why_it_matters","source_file"
"eng-bench-agencybench","engineering","benchmark","AgencyBench","https://github.com/GAIR-NLP/AgencyBench","","repo","A","search-verified","1M-token long-horizon benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-agentbench","engineering","benchmark","AgentBench","https://github.com/THUDM/AgentBench","","repo","A","search-verified","Multi-environment agent benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-agentcompany","engineering","benchmark","TheAgentCompany","https://github.com/TheAgentCompany/TheAgentCompany","","repo","B","known-primary","Simulated company benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-ainativebench","engineering","benchmark","AINativeBench","https://github.com/AINativeOps/AINativeBench","","repo","B","search-verified","AI-native application benchmark with MCP/A2A variants.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-androidworld","engineering","benchmark","AndroidWorld","https://github.com/google-research/android_world","","repo","B","known-primary","Android/mobile agent benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-appworld","engineering","benchmark","AppWorld","https://github.com/StonyBrookNLP/appworld","","repo","A","known-primary","App/API execution benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-browsergym","engineering","benchmark","BrowserGym","https://github.com/ServiceNow/BrowserGym","","repo","A","known-primary","Browser agent benchmark infrastructure.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-gaia","engineering","benchmark","GAIA dataset","https://huggingface.co/datasets/gaia-benchmark/GAIA","","dataset","A","known-primary","General assistant benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-mind2web","engineering","benchmark","Mind2Web","https://github.com/OSU-NLP-Group/Mind2Web","","repo","B","known-primary","Web task dataset/benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-osworld-repo","engineering","benchmark","OSWorld repo","https://github.com/xlang-ai/OSWorld","","repo","A","search-verified","Real computer environment.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-osworld-site","engineering","benchmark","OSWorld site","https://os-world.github.io/","","official-site","A","search-verified","OSWorld-Verified and results.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-swebench-repo","engineering","benchmark","SWE-bench repo","https://github.com/SWE-bench/SWE-bench","","repo","A","search-verified","Real-world software issue benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-swebench-site","engineering","benchmark","SWE-bench leaderboard","https://www.swebench.com/","","official-site","A","search-verified","Current variants and leaderboard.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-tau","engineering","benchmark","tau-bench","https://github.com/sierra-research/tau-bench","","repo","A","search-verified","Original tau-bench; now outdated.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-tau2","engineering","benchmark","tau2/tau3-bench","https://github.com/sierra-research/tau2-bench","","repo","A","search-verified","Current tau benchmark with voice/knowledge/task fixes.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-terminal","engineering","benchmark","Terminal-Bench","https://github.com/harbor-framework/terminal-bench","","repo","A","search-verified","Terminal task execution harness.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-terminal-21","engineering","benchmark","Terminal-Bench 2.1","https://github.com/harbor-framework/terminal-bench-2-1","","repo","A","search-verified","Verified benchmark iteration.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-visualagentbench","engineering","benchmark","VisualAgentBench","https://github.com/THUDM/VisualAgentBench","","repo","B","search-verified","Visual foundation agent benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-visualwebarena","engineering","benchmark","VisualWebArena","https://jykoh.com/vwa","","project","A","known-primary","Visual web benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-webarena","engineering","benchmark","WebArena","https://webarena.dev","","project","A","known-primary","Web agent environment.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-webvoyager","engineering","benchmark","WebVoyager","https://github.com/MinorJerry/WebVoyager","","repo","B","known-primary","Web navigation benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-workarena","engineering","benchmark","WorkArena","https://github.com/ServiceNow/WorkArena","","repo","B","known-primary","Enterprise workflow web benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-browser-use-bench","engineering","browser-agent","browser-use benchmark","https://github.com/browser-use/benchmark","","repo","B","search-verified","100 real-world browser tasks.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-browser-use-docs","engineering","browser-agent","browser-use docs","https://docs.browser-use.com/open-source/introduction","","official-doc","A","search-verified","Open-source browser agent docs.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-browser-use-repo","engineering","browser-agent","browser-use","https://github.com/browser-use/browser-use","","repo","A","search-verified","Browser automation agent framework.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-browser-use-webui","engineering","browser-agent","browser-use web-ui","https://github.com/browser-use/web-ui","","repo","B","search-verified","Gradio UI and persistent browser sessions.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-midscene","engineering","browser-agent","Midscene","https://github.com/web-infra-dev/Midscene","","repo","B","known-primary","Browser automation with visual grounding.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-stagehand","engineering","browser-agent","Browserbase Stagehand","https://github.com/browserbase/stagehand","","repo","B","known-primary","Browser automation framework for LLMs.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-tangle-browser-driver","engineering","browser-agent","agent-browser-driver","https://github.com/tangle-network/agent-browser-driver","","repo","C","search-verified","Browser driver with hybrid observation and cost claims.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-weboperator","engineering","browser-agent","WebOperator","https://github.com/kagnlp/WebOperator","","repo","B","search-verified","Tree-search web agent with backtracking.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-playwright-mcp","engineering","browser-tooling","Playwright MCP","https://github.com/microsoft/playwright-mcp","","repo","A","known-primary","Browser automation exposed over MCP.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-aider","engineering","coding-agent","Aider","https://github.com/Aider-AI/aider","","repo","B","known-primary","Git-aware coding agent implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-cline","engineering","coding-agent","Cline","https://github.com/cline/cline","","repo","B","known-primary","IDE coding agent implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-continue","engineering","coding-agent","Continue","https://github.com/continuedev/continue","","repo","B","known-primary","Open-source AI code assistant.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-mini-swe-agent","engineering","coding-agent","mini-SWE-agent","https://github.com/SWE-agent/mini-swe-agent","","repo","A","known-primary","Minimal coding agent scaffold.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-openhands-docs","engineering","coding-agent","OpenHands docs","https://docs.openhands.dev/","","official-doc","A","search-verified","Coding agent SDK, GUI, cloud/local runtime.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-openhands-repo","engineering","coding-agent","OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","","repo","A","search-verified","Self-hosted coding agent control center.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-openhands-sdk","engineering","coding-agent","OpenHands software-agent-sdk","https://github.com/OpenHands/software-agent-sdk","","repo","A","search-verified","Core agent SDK and server.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-roo","engineering","coding-agent","Roo Code","https://github.com/RooVetGit/Roo-Code","","repo","B","known-primary","Open coding agent fork/ecosystem.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-swe-agent-repo","engineering","coding-agent","SWE-agent","https://github.com/SWE-agent/SWE-agent","","repo","A","known-primary","SWE-bench agent scaffold and harness.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-cua","engineering","computer-use","Cua","https://github.com/trycua/cua","","repo","B","known-primary","Computer-use agent stack.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-google-adk-docs-repo","engineering","docs","google/adk-docs","https://github.com/google/adk-docs","","repo","A","search-verified","Official docs repo and llms.txt context.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-agenticx","engineering","framework","AgenticX","https://github.com/clawbundle/AgenticX","","repo","C","search-verified","Broad agent framework with protocols/security/storage tiers; watch source.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-agno-docs","engineering","framework","Agno docs","https://docs.agno.com/","","official-doc","B","known-primary","Agent framework formerly phidata.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-agno-repo","engineering","framework","agno-agi/agno","https://github.com/agno-agi/agno","","repo","B","known-primary","Multi-agent framework implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-autogen-agentchat","engineering","framework","AutoGen AgentChat docs","https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/index.html","","official-doc","A","known-primary","Conversational multi-agent surface.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-autogen-core","engineering","framework","AutoGen Core docs","https://microsoft.github.io/autogen/stable/user-guide/core-user-guide/index.html","","official-doc","B","known-primary","Event-driven core abstractions.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-autogen-docs","engineering","framework","AutoGen docs","https://microsoft.github.io/autogen/","","official-doc","A","known-primary","AgentChat/Core framework docs.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-autogen-repo","engineering","framework","microsoft/autogen","https://github.com/microsoft/autogen","","repo","A","known-primary","Current AutoGen implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-beeai-docs","engineering","framework","BeeAI docs","https://i-am-bee.github.io/beeai-framework/","","official-doc","B","known-primary","Agent framework and ACP history.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
