relation_id,action,target_relation_id,target_relation_ids,target_mapping_id,rationale,reviewer,status
adapter_benchmarks_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_benchmarks_emits_event,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_benchmarks_relates,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_frameworks_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_frameworks_emits_event,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_frameworks_relates,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_mapping_infrastructure_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_mapping_infrastructure_emits_event,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_mapping_infrastructure_relates,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_protocols_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_protocols_emits_event,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_protocols_relates,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_schema_export_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_schema_export_emits_event,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_schema_export_relates,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_statecharts_contains,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_statecharts_emits_event,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
adapter_statecharts_relates,remove_generated_placeholder,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
allows_action,retire_after_endpoint_or_semantic_review,,[],,"The relation was a generated placeholder, used a pseudo endpoint, duplicated taxonomy, or lost its subject after reviewed concept disposition.",codex-legacy-relation-reviewer,accepted
