"module_id","label_zh","key_notion","primary_cq_ids","owns_when","references_when","input_family_ids","output_family_ids","failure_family_ids","recovery_family_ids","overlap_module_ids","overlap_concept_ids","decision","reviewer","review_status"
"adapter-benchmarks","基准映射","基准适配器","adapter-benchmarks-cq-task-environment-mapping-v3|adapter-benchmarks-cq-score-interpretation-v3|adapter-benchmarks-cq-trajectory-provenance-v3","当对象是某个命名基准及版本中的构造，且其意义来自该基准的任务或评分规范时，在此拥有。","评估运行载入基准任务或把基准得分解释为核心测量时，引用对应关系，评估事实仍归评估与度量。","","","","","feedback-metrics-evaluation|runtime-system|runtime-observability","AppWorldAdapter|SWEBenchAdapter|Metric|Score|OSWorldAdapter|Tau2Adapter|Container|RuntimeEnvironment|AgencyBenchAdapter|AuditRecord|StateRecord","keep","moonweave-ontology-structure-reviewer","accepted"
"adapter-frameworks","框架映射","框架适配器","adapter-frameworks-cq-construct-equivalence-v3|adapter-frameworks-cq-lifecycle-difference-v3|adapter-frameworks-cq-no-shadow-taxonomy-v3","当映射的源端点由特定框架及版本定义，并且移除该上下文会改变构造含义时，在此拥有。","编排、运行或追踪数据需要说明其原始框架构造时，引用框架适配器，而核心事实仍由相应业务域拥有。","","","","","orchestration-composition|runtime-system|adapter-mapping-infrastructure","FrameworkMapping|LangGraphAdapter|AggregationActivity|CompositionPart|FrameworkTraceMapping|RuntimeSession|SessionStartEvent|MappingArtifact|MappingRule","keep","moonweave-ontology-structure-reviewer","accepted"
"adapter-mapping-infrastructure","映射规则与验证","适配器","adapter-mapping-infrastructure-cq-rule-applicability-v3|adapter-mapping-infrastructure-cq-coverage-gap-v3|adapter-mapping-infrastructure-cq-adapter-specialization-v3","当对象的身份由跨模型的对应规则、规则适用条件或对该对应关系的验证证据决定时，在此登记。","具体适配范围应用通用规则或报告映射执行结果时，引用这里的 Adapter、MappingRule 和验证概念。","MappingRule","MappingArtifact","ConversionWarning","","adapter-frameworks|adapter-schema-export|adapter-protocols","FrameworkMapping|LangGraphAdapter|MappingArtifact|MappingRule|ConversionWarning|SchemaAdapter|SchemaProjectionRun|InteroperabilityAdapter|ProtocolMapping","keep","moonweave-ontology-structure-reviewer","accepted"
"adapter-protocols","协议映射","协议适配器","adapter-protocols-cq-versioned-construct-mapping-v3|adapter-protocols-cq-message-behavior-gap-v3|adapter-protocols-cq-participant-role-separation-v3","当事实必须借助协议名称、协议版本及该协议构造的规范含义才能识别时，在此定义。","MCP 运行交互或消息解析需要解释协议字段的核心含义时，引用对应的协议适配器与映射规则。","","","","","tool-mcp-transport|info-messages-instructions|runtime-actors","FIPAAdapter|ProtocolMapping|MCPClient|MCPMessage|ProtocolMessageMapping|Message|ProtocolEnvelope|ActorBinding|ActorRoleBinding","keep","moonweave-ontology-structure-reviewer","accepted"
"adapter-schema-export","模式导出","投影适配器","adapter-schema-export-cq-constraint-projection-v3|adapter-schema-export-cq-round-trip-loss-v3|adapter-schema-export-cq-artifact-lineage-v3","当对象的身份由目标 schema 语言、目标版本、投影配置或一次导出运行决定时，在此拥有。","其他范围发布或验证其 canonical 定义的机器可读投影时，引用对应导出配置和产物标识。","ProjectionAdapter|MappingRule|Tool","SchemaArtifact","","","adapter-mapping-infrastructure|runtime-artifacts","ConversionWarning|MappingRule|SchemaAdapter|SchemaProjectionRun|PydanticProfileAdapter|ExportArtifact|SchemaArtifact","keep","moonweave-ontology-structure-reviewer","accepted"
"adapter-statecharts","状态图映射","状态图适配器","adapter-statecharts-cq-transition-guard-mapping-v3|adapter-statecharts-cq-parallel-history-loss-v3|adapter-statecharts-cq-event-instance-separation-v3","当语义端点由状态图标准或实现中的 State、Transition、Guard、Action 身份决定时，在此拥有。","路由控制或运行会话需要说明其状态逻辑来自哪份状态图时，引用适配器与状态图构造。","","","","","orchestration-routing-control|runtime-system|runtime-observability","SCXMLAdapter|XStateAdapter|ControlGate|GateCondition|RuntimeSession|SessionLifecycleEvent|StateSnapshot|TraceEvent","keep","moonweave-ontology-structure-reviewer","accepted"
"feedback-logging","日志与遥测","日志产物","feedback-logging-cq-record-lineage-v3|feedback-logging-cq-audit-integrity-v3|feedback-logging-cq-export-completeness-v3","当对象的身份由记录格式、流位置、审计链、订阅、Sink 或一次遥测导出批次决定时，在此拥有。","运行、诊断或评估需要持久发布原始事件、测量或追踪而不改变其语义身份时，引用日志流和导出记录。","TelemetryEvent|LogStream|TraceRecord","ToolTranscript|TelemetryExportBatch|TraceExport","ErrorEvent|ErrorListener","RecoveryAction","runtime-observability|safety-commit-redaction|feedback-metrics-evaluation","AuditLog|EventSink|AuditRecord|TelemetryEvent|LogSubscription|TelemetryExportBatch|CommitDenial|EffectReceipt|MeasurementReference|MetricExportActivity|Measurement|Score","keep","moonweave-ontology-structure-reviewer","accepted"
"feedback-metrics-evaluation","评估与度量","评估规范","feedback-metrics-evaluation-cq-measurement-provenance-v3|feedback-metrics-evaluation-cq-criterion-verdict-v3|feedback-metrics-evaluation-cq-comparable-runs-v3","当对象的身份由评估问题、指标定义、测量上下文或一次评估运行决定时，在此拥有。","编排、审查或优化消费评估结论但不重新定义指标和测量过程时，引用这里的规范、运行与结果。","EvaluationSpecification|ToolResult","Feedback|Measurement","","Correction","orchestration-evaluation|feedback-logging|adapter-benchmarks","EvaluationRun|Measurement|EvaluationAttempt|StopRetryLineage|MeasurementReference|MetricExportActivity|Rubric|AppWorldAdapter|SWEBenchAdapter|Metric|Score","keep","moonweave-ontology-structure-reviewer","accepted"
"feedback-optimization-learning","优化与学习","优化循环","feedback-optimization-learning-cq-signal-aggregation-v3|feedback-optimization-learning-cq-proposal-justification-v3|feedback-optimization-learning-cq-governed-application-v3","当对象跨越多个运行或评审，把证据汇总为优化目标、学习信号或待治理变更提案时，在此拥有。","审查、策略或部署流程需要消费已汇总趋势和提案，但负责审批或执行具体变更时，引用这里的信号与提案。","LearningSignal|Metric|Measurement","ChangeProposal","","CorrectionActivity","feedback-review-optimization|feedback-metrics-evaluation|safety-commit-redaction","ChangeProposal|LearningSignal|CorrectionActivity|Feedback|Measurement|Metric|OptimizationTarget|CommitApproval|EffectReceipt","split","moonweave-ontology-structure-reviewer","accepted"
"feedback-review-optimization","审查与纠正","评审活动","feedback-review-optimization-cq-finding-disposition-v3|feedback-review-optimization-cq-correction-verification-v3|feedback-review-optimization-cq-review-reopen-v3","当对象的身份由一次审查、其 Finding、所要求的纠正或针对该 Finding 的复验决定时，在此拥有。","优化循环汇总多次审查，或故障诊断引用已验证的纠正结果时，引用这里的 Finding 与处置链。","OptimizationTarget","Review|ReviewFinding|CritiqueArtifact|ReviewEvent","","Correction|CorrectionActivity|EvaluationRun","feedback-optimization-learning|feedback-warning-error|feedback-metrics-evaluation","ChangeProposal|LearningSignal|CorrectionActivity|Feedback|RecoveryAction|ReviewFinding|ConfidenceSignal|ErrorEvent|EvaluationRun|Score|Correction","keep","moonweave-ontology-structure-reviewer","accepted"
