"id","area","source_type","priority","schema_impact","url","pre_status","post_status","normalized_class","normalized_version_or_date","normalization_basis","note"
"eng-bench-agencybench","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/GAIR-NLP/AgencyBench","previously_unverified","normalized","living-repo","GitHub GAIR-NLP/AgencyBench main@ec65324be69e; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-agentbench","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/THUDM/AgentBench","previously_unverified","normalized","living-repo","GitHub THUDM/AgentBench main@d1e4a10db08c; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-agentcompany","benchmark","repo","B","field-schema-or-adapter-contract","https://github.com/TheAgentCompany/TheAgentCompany","previously_unverified","normalized","living-repo","GitHub TheAgentCompany/TheAgentCompany main@98b68ef82a47; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-ainativebench","benchmark","repo","B","field-schema-or-adapter-contract","https://github.com/AINativeOps/AINativeBench","previously_unverified","normalized","living-repo","GitHub AINativeOps/AINativeBench main@25542e822421; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-androidworld","benchmark","repo","B","field-schema-or-adapter-contract","https://github.com/google-research/android_world","previously_unverified","normalized","living-repo","GitHub google-research/android_world main@d9c569f764b3; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-appworld","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/StonyBrookNLP/appworld","previously_unverified","normalized","living-repo","GitHub StonyBrookNLP/appworld main@a072b7a86e7c; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-browsergym","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/ServiceNow/BrowserGym","previously_unverified","normalized","living-repo","GitHub ServiceNow/BrowserGym main@9e779f087de9; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-gaia","benchmark","dataset","A","field-schema-or-adapter-contract","https://huggingface.co/datasets/gaia-benchmark/GAIA","previously_unverified","normalized","living-dataset","Hugging Face dataset sha 682dd723ee1e; lastModified 2025-10-28T14:44:54.000Z; checked 2026-06-30","huggingface-hub-api","Hugging Face dataset metadata captured from official Hub API."
"eng-bench-mind2web","benchmark","repo","B","field-schema-or-adapter-contract","https://github.com/OSU-NLP-Group/Mind2Web","previously_unverified","normalized","living-repo","GitHub OSU-NLP-Group/Mind2Web main@33bd95caeee7; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-osworld-repo","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/xlang-ai/OSWorld","previously_unverified","normalized","living-repo","GitHub xlang-ai/OSWorld main@83e8534451ba; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-bench-swebench-repo","benchmark","repo","A","field-schema-or-adapter-contract","https://github.com/SWE-bench/SWE-bench","previously_unverified","normalized","living-repo","GitHub SWE-bench/SWE-bench main@f7bbbb2ccdf4; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
