concept_id,current_plane_id,current_module_id,current_kind,decision,proposed_kind,primary_parent_relation_id,additional_parent_relation_ids,target_plane_id,target_module_id,target_concept_id,convert_to_field_id,convert_to_allowed_value_of,merge_into_id,replaced_by_id,definition_action,example_action,source_action,required_new_relation_ids,rationale,reviewer,review_status
A2AAdapter,adapter-plane,adapter-protocols,adapter_type,keep_reparent,capability,A2AAdapter-is_a-ProtocolAdapter,,adapter-plane,adapter-protocols,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""A2AAdapter-is_a-ProtocolAdapter""]","A2A 适配器以远程智能体身份、任务生命周期、消息与产物交换映射为区分特征。 / A2AAdapter specializes ProtocolAdapter by remote-agent identity, task-lifecycle, message, and artifact-exchange mappings.",codex-safety-adapter-ontology-reviewer,accepted
AccessPath,info-plane,info-storage-sources,resource_type,keep_root,information,,,info-plane,info-storage-sources,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"访问路径是描述如何在权限与策略约束下解析来源引用的信息对象，不是来源对象或位置的子类。 / AccessPath is information describing how to resolve a source reference under permission and policy constraints, not a subtype of source object or location.",codex-info-ontology-reviewer,accepted
ActorAuthorityScope,runtime-plane,runtime-actors,policy_type,keep_root,specification,,,runtime-plane,runtime-actors,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],权限范围是限定主体可执行操作和可访问边界的规约，不是绑定记录本身。 / ActorAuthorityScope is a specification bounding operations and accessible boundaries; it is not itself a binding record.,codex-runtime-orchestration-ontology-reviewer,accepted
ActorCapabilityBinding,runtime-plane,runtime-actors,relation_type,keep_reparent,information,ActorCapabilityBinding-is_a-ActorBinding,,runtime-plane,runtime-actors,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ActorCapabilityBinding-is_a-ActorBinding""]",它是以可调用能力及使用条件为区分特征的一种主体绑定记录。 / It is an ActorBinding distinguished by binding callable capabilities and their conditions of use.,codex-runtime-orchestration-ontology-reviewer,accepted
ActorRoleBinding,runtime-plane,runtime-actors,relation_type,keep_reparent,information,ActorRoleBinding-is_a-ActorBinding,,runtime-plane,runtime-actors,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""ActorRoleBinding-is_a-ActorBinding""]",它是以责任角色分派为区分特征的一种主体绑定记录。 / It is an ActorBinding distinguished by assigning a responsibility-bearing role.,codex-runtime-orchestration-ontology-reviewer,accepted
AdditionalInput,tool-plane,tool-mcp-transport,resource_type,retype,information,,,tool-plane,tool-mcp-transport,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"附加输入是引导交互请求的数据内容，不是交互活动、参与方或能力的子类。 / Additional input is data requested by elicitation, not a subtype of interaction, participant, or capability.",codex-tool-feedback-ontology-reviewer,accepted
AgencyBenchAdapter,adapter-plane,adapter-benchmarks,adapter_type,keep_reparent,capability,AgencyBenchAdapter-is_a-BenchmarkAdapter,,adapter-plane,adapter-benchmarks,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AgencyBenchAdapter-is_a-BenchmarkAdapter""]","AgencyBench 适配器是按 AgencyBench 的长程任务、环境与评分合同区分的 BenchmarkAdapter。 / AgencyBenchAdapter is a BenchmarkAdapter distinguished by AgencyBench long-horizon task, environment, and scoring contracts.",codex-safety-adapter-ontology-reviewer,accepted
AgentActor,runtime-plane,runtime-actors,actor_type,keep_reparent,entity,AgentActor-is_a-SoftwareActor,,runtime-plane,runtime-actors,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AgentActor-is_a-SoftwareActor""]","智能体参与者是能自主行动、接收委派并承担可追踪责任的一种软件主体。 / An AgentActor is a SoftwareActor distinguished by autonomous action, delegation reception, and traceable accountability.",codex-runtime-orchestration-ontology-reviewer,accepted
AgentAsToolInvocation,orchestration-plane,orchestration-actors-delegation,event_type,retype,activity,AgentAsToolInvocation-is_a-DelegationProcess,,orchestration-plane,orchestration-actors-delegation,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AgentAsToolInvocation-is_a-DelegationProcess""]",智能体作为工具调用是管理者保留控制权和答案归属的一种有界委派过程。 / Agent-as-tool invocation is a DelegationProcess distinguished by the manager retaining control and answer ownership.,codex-runtime-orchestration-ontology-reviewer,accepted
AgentSystem,runtime-plane,runtime-system,object_type,keep_root,entity,,,runtime-plane,runtime-system,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"它是协调运行参与者、能力和状态的整体实体，当前模块没有比它更一般且严格适用的旧概念。 / It is the aggregate entity coordinating runtime actors, capabilities, and state; no existing concept in the module is a strictly more general parent.",codex-runtime-orchestration-ontology-reviewer,accepted
AgentTranscript,runtime-plane,runtime-observability,resource_type,keep_reparent,information,AgentTranscript-is_a-ObservabilityRecord,,runtime-plane,runtime-observability,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AgentTranscript-is_a-ObservabilityRecord""]",智能体转录记录是一种保存可观察消息与动作序列的可观测记录。 / An AgentTranscript is an ObservabilityRecord distinguished by preserving an observable sequence of messages and actions.,codex-runtime-orchestration-ontology-reviewer,accepted
AggregationRule,orchestration-plane,orchestration-composition,policy_type,keep_root,specification,,,orchestration-plane,orchestration-composition,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"聚合规则规定并行输出、选票或证据如何合并，是治理综合活动的规约，不是一种组合模式。 / AggregationRule specifies how parallel outputs, ballots, or evidence are combined; it governs synthesis rather than being a composition pattern.",codex-runtime-orchestration-ontology-reviewer,accepted
AllowDecision,safety-plane,safety-permission-policy,event_type,keep_reparent,information,AllowDecision-is_a-PolicyDecision,,safety-plane,safety-permission-policy,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AllowDecision-is_a-PolicyDecision""]",允许决定是结论为允许并带有作用域与义务的 PolicyDecision。 / An AllowDecision is a PolicyDecision whose outcome permits an action subject to recorded scope and obligations.,codex-safety-adapter-ontology-reviewer,accepted
AnswerOwnership,orchestration-plane,orchestration-actors-delegation,object_type,keep_reparent,information,AnswerOwnership-is_a-CoordinationOwnershipRecord,,orchestration-plane,orchestration-actors-delegation,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AnswerOwnership-is_a-CoordinationOwnershipRecord""]",答案归属是以最终响应或产物责任主体为区分内容的一种协调归属记录。 / AnswerOwnership is a CoordinationOwnershipRecord identifying accountability for the final response or artifact.,codex-runtime-orchestration-ontology-reviewer,accepted
APIOperation,tool-plane,tool-registry-definition,action_type,keep_reparent,capability,APIOperation-is_a-ToolCapability,,tool-plane,tool-registry-definition,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""APIOperation-is_a-ToolCapability""]","API 操作在工具能力上增加方法、端点与调用约束，仍是一种可调用工具能力。 / An API operation adds method, endpoint, and invocation constraints to ToolCapability and remains a callable tool capability.",codex-tool-feedback-ontology-reviewer,accepted
AppWorldAdapter,adapter-plane,adapter-benchmarks,adapter_type,keep_reparent,capability,AppWorldAdapter-is_a-BenchmarkAdapter,,adapter-plane,adapter-benchmarks,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AppWorldAdapter-is_a-BenchmarkAdapter""]","AppWorld 适配器以 AppWorld API 环境、任务状态和测试结果映射为区分特征。 / AppWorldAdapter specializes BenchmarkAdapter by AppWorld API environment, task-state, and test-result mappings.",codex-safety-adapter-ontology-reviewer,accepted
Artifact,runtime-plane,runtime-artifacts,resource_type,keep_root,information,,,runtime-plane,runtime-artifacts,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"Artifact 是由运行产生、可版本化和可审查的信息产物，作为本模块五个真实产物子类的根。 / Artifact is versionable, reviewable information produced by runtime work and is the root for the module's five genuine artifact specializations.",codex-runtime-orchestration-ontology-reviewer,accepted
AssistantMessage,info-plane,info-messages-instructions,resource_type,keep_reparent,information,AssistantMessage-is_a-Message,,info-plane,info-messages-instructions,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AssistantMessage-is_a-Message""]",任一助手消息都是发送角色为助手、可携带模型输出或工具意图的 Message。 / Every AssistantMessage is a Message whose sending role is assistant and may carry model output or tool intent.,codex-info-ontology-reviewer,accepted
AudioBlock,info-plane,info-content-block-modality,resource_type,keep_reparent,information,AudioBlock-is_a-ContentBlock,,info-plane,info-content-block-modality,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AudioBlock-is_a-ContentBlock""]",任一音频块都是载荷模态为音频或音频观测的 ContentBlock。 / Every AudioBlock is a ContentBlock whose payload modality is audio or an audio observation.,codex-info-ontology-reviewer,accepted
AuditDisclosure,safety-plane,safety-commit-redaction,resource_type,keep_root,information,,,safety-plane,safety-commit-redaction,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"审计披露是记录接收方、规则、控制活动和披露结果的信息产物，不是披露活动子类。 / AuditDisclosure is an information artifact recording recipient, rule, control activity, and disclosure outcome; it is not a disclosure-activity subtype.",codex-safety-adapter-ontology-reviewer,accepted
AuditLog,feedback-plane,feedback-logging,object_type,keep_root,collection,,,feedback-plane,feedback-logging,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"AuditLog 是供审计的记录集合或通道，而非单个 LogArtifact；通过 contains 关系聚合制品。 / AuditLog is an auditable collection or channel of records, not a single LogArtifact; it aggregates artifacts by relation.",codex-tool-feedback-ontology-reviewer,accepted
AuditRecord,runtime-plane,runtime-observability,resource_type,keep_reparent,information,AuditRecord-is_a-ObservabilityRecord,,runtime-plane,runtime-observability,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AuditRecord-is_a-ObservabilityRecord""]","审计记录是以责任、授权与治理证据为区分内容的一种可观测记录。 / An AuditRecord is an ObservabilityRecord distinguished by accountability, authorization, and governance evidence.",codex-runtime-orchestration-ontology-reviewer,accepted
AuthorityScope,safety-plane,safety-trust-boundary,policy_type,keep_root,specification,,,safety-plane,safety-trust-boundary,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"权限范围是约束主体、操作、资源与有效期的规范对象，不是边界或穿越事件的子类。 / AuthorityScope is a specification constraining subject, action, resource, and validity; it is not a boundary or crossing subtype.",codex-safety-adapter-ontology-reviewer,accepted
AuthorizationGrant,safety-plane,safety-permission-policy,policy_type,keep_reparent,information,AuthorizationGrant-is_a-AuthorizationArtifact,,safety-plane,safety-permission-policy,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AuthorizationGrant-is_a-AuthorizationArtifact""]",授权授予是证明某主体获准执行受限操作的 AuthorizationArtifact。 / AuthorizationGrant is an AuthorizationArtifact evidencing that a subject may perform bounded actions.,codex-safety-adapter-ontology-reviewer,accepted
AutomatedReview,feedback-plane,feedback-review-optimization,event_type,keep_reparent,activity,AutomatedReview-is_a-ReviewActivity,,feedback-plane,feedback-review-optimization,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""AutomatedReview-is_a-ReviewActivity""]",自动评审是由机器执行且保留模型/规则出处的一种 ReviewActivity。 / Automated review is a ReviewActivity performed by a machine with model/rule provenance.,codex-tool-feedback-ontology-reviewer,accepted
BenchmarkAdapter,adapter-plane,adapter-benchmarks,adapter_type,keep_reparent,capability,BenchmarkAdapter-is_a-Adapter,,adapter-plane,adapter-benchmarks,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""BenchmarkAdapter-is_a-Adapter""]","基准适配器是把外部基准的任务、环境、轨迹、指标与结果映射到统一概念的 Adapter。 / BenchmarkAdapter is an Adapter that maps an external benchmark's tasks, environments, trajectories, metrics, and outcomes to canonical concepts.",codex-safety-adapter-ontology-reviewer,accepted
BlockingError,feedback-plane,feedback-warning-error,resource_type,keep_reparent,state,BlockingError-is_a-FailureMode,,feedback-plane,feedback-warning-error,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""BlockingError-is_a-FailureMode""]","BlockingError 描述会阻断继续执行的失败方式，是一种 FailureMode，而不是某次错误发生记录。 / BlockingError describes a failure mode that blocks continuation and is a FailureMode, not an occurrence record.",codex-tool-feedback-ontology-reviewer,accepted
BoundaryCrossing,safety-plane,safety-trust-boundary,event_type,keep_root,event,,,safety-plane,safety-trust-boundary,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,[],"边界穿越是具有时间、方向和参与方的可观测事件，通过 crosses 连接边界而不继承边界。 / BoundaryCrossing is an observable event with time, direction, and participants; it relates to a boundary through crosses rather than inheritance.",codex-safety-adapter-ontology-reviewer,accepted
BranchCondition,orchestration-plane,orchestration-routing-control,policy_type,keep_reparent,specification,BranchCondition-is_a-RoutingCondition,,orchestration-plane,orchestration-routing-control,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""BranchCondition-is_a-RoutingCondition""]",分支条件是以判定可运行分支为区分用途的一种路由条件。 / A BranchCondition is a RoutingCondition distinguished by determining which branch is eligible to run.,codex-runtime-orchestration-ontology-reviewer,accepted
CandidateChunk,memory-plane,memory-retrieval-ranking,resource_type,keep_reparent,information,CandidateChunk-is_a-RetrievalArtifact,,memory-plane,memory-retrieval-ranking,,,,,,retain and clarify trilingual definition,add positive and boundary examples,convert legacy source IDs into direct reviewed source claims,"[""CandidateChunk-is_a-RetrievalArtifact""]",CandidateChunk 是处于评估而未最终选择状态的 RetrievalArtifact，并引用同一 canonical Chunk。 / A CandidateChunk is a RetrievalArtifact under evaluation but not yet selected and references the same canonical Chunk.,codex-memory-ontology-reviewer,accepted
