data_property_id,action,target_node_id,target_field_id,rationale,reviewer,status
adapter_benchmarks_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
adapter_benchmarks_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
adapter_frameworks_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
adapter_frameworks_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
adapter_mapping_infrastructure_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
adapter_mapping_infrastructure_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
adapter_protocols_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
adapter_protocols_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
adapter_schema_export_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
adapter_schema_export_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
adapter_statecharts_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
adapter_statecharts_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
feedback_logging_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
feedback_logging_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
feedback_metrics_evaluation_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
feedback_metrics_evaluation_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
feedback_review_optimization_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
feedback_review_optimization_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
feedback_warning_error_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
feedback_warning_error_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
has_byte_count,attach_to_concept_structure,Artifact,byte_count,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_confidence,attach_to_concept_structure,Measurement,confidence,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_cost,attach_to_concept_structure,RuntimeBudget,cost,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_description,attach_to_concept_structure,ToolDefinition,description,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_duration_ms,attach_to_concept_structure,RunAttempt,duration_ms,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_end_time,attach_to_concept_structure,RuntimeSession,end_time,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_error_code,attach_to_concept_structure,ErrorEvent,error_code,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_hash,attach_to_concept_structure,Artifact,content_hash,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_identifier,attach_to_concept_structure,AgentSystem,system_id,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_label,attach_to_concept_structure,Artifact,display_label,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_priority,attach_to_concept_structure,Instruction,priority,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_rank,attach_to_concept_structure,DiscoveryResult,rank,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_retry_count,attach_to_concept_structure,RunAttempt,retry_count,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_score,attach_to_concept_structure,Score,value,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_start_time,attach_to_concept_structure,RuntimeSession,start_time,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_status,attach_to_concept_structure,RunAttempt,legacy_status_text,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_timestamp,attach_to_concept_structure,TraceEvent,timestamp,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_token_count,attach_to_concept_structure,ContentBlock,token_count,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_uri,attach_to_concept_structure,SourceReference,uri,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
has_warning_code,attach_to_concept_structure,Warning,warning_code,"The scalar is useful node information and is therefore owned by one concrete Concept field, not a parallel data-property graph.",codex-field-migration-reviewer,accepted
info_container_command_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
info_container_command_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
info_content_block_modality_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
info_content_block_modality_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
info_indexing_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
info_indexing_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
info_messages_instructions_has_evidence_strength,remove_generated_module_boilerplate,,,Evidence strength belongs to individual source-claim confidence and must not be copied into one module-wide scalar.,codex-field-migration-reviewer,accepted
info_messages_instructions_has_state,remove_generated_module_boilerplate,,,Module lifecycle state is already represented by governed Module status and must not be duplicated as a scalar field.,codex-field-migration-reviewer,accepted
