definition_id,action,target_id,rationale,reviewer,status
A2AAdapter,merge_into_canonical_owner,A2AAdapter,"The trilingual definition is now stored once with its canonical node, relation, or root constraint.",codex-definition-migration-reviewer,accepted
AccessPath,merge_into_canonical_owner,AccessPath,"The trilingual definition is now stored once with its canonical node, relation, or root constraint.",codex-definition-migration-reviewer,accepted
ActorAuthorityScope,merge_into_canonical_owner,ActorAuthorityScope,"The trilingual definition is now stored once with its canonical node, relation, or root constraint.",codex-definition-migration-reviewer,accepted
ActorCapabilityBinding,merge_into_canonical_owner,ActorCapabilityBinding,"The trilingual definition is now stored once with its canonical node, relation, or root constraint.",codex-definition-migration-reviewer,accepted
ActorRoleBinding,merge_into_canonical_owner,ActorRoleBinding,"The trilingual definition is now stored once with its canonical node, relation, or root constraint.",codex-definition-migration-reviewer,accepted
adapter_benchmarks_contains,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_benchmarks_emits_event,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_benchmarks_has_evidence_strength,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_benchmarks_has_state,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_benchmarks_relates,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_frameworks_contains,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_frameworks_emits_event,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_frameworks_has_evidence_strength,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_frameworks_has_state,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_frameworks_relates,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_mapping_infrastructure_contains,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_mapping_infrastructure_emits_event,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_mapping_infrastructure_has_evidence_strength,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_mapping_infrastructure_has_state,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_mapping_infrastructure_relates,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_protocols_contains,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_protocols_emits_event,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_protocols_has_evidence_strength,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_protocols_has_state,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_protocols_relates,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_schema_export_contains,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_schema_export_emits_event,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_schema_export_has_evidence_strength,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
adapter_schema_export_has_state,retire_with_reviewed_legacy_disposition,,"The owning legacy record was removed, merged, or converted during reviewed migration; no detached definition remains.",codex-definition-migration-reviewer,accepted
