axiom_id,action,target_id,rationale,reviewer,status
AX_adapter_benchmarks_contains_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_benchmarks_emits_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_benchmarks_event_observable,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_benchmarks_has_evidence_strength_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_benchmarks_has_source,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_benchmarks_has_state_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_benchmarks_plane_membership,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_benchmarks_relates_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_frameworks_contains_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_frameworks_emits_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_frameworks_event_observable,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_frameworks_has_evidence_strength_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_frameworks_has_source,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_frameworks_has_state_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_frameworks_plane_membership,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_frameworks_relates_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_mapping_infrastructure_contains_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_mapping_infrastructure_emits_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_mapping_infrastructure_event_observable,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_mapping_infrastructure_has_evidence_strength_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_mapping_infrastructure_has_source,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_mapping_infrastructure_has_state_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_mapping_infrastructure_plane_membership,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_mapping_infrastructure_relates_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_plane_term_resolution,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_protocols_contains_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_protocols_emits_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_protocols_event_observable,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_protocols_has_evidence_strength_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_protocols_has_source,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_protocols_has_state_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_protocols_plane_membership,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_protocols_relates_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_schema_export_contains_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_schema_export_emits_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_schema_export_event_observable,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_schema_export_has_evidence_strength_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_schema_export_has_source,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_schema_export_has_state_datatype,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_schema_export_plane_membership,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_schema_export_relates_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_statecharts_contains_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
AX_adapter_statecharts_emits_event_domain_range,remove_generated_or_redundant_template,,"The record mechanically restated membership, evidence, datatype, or domain/range already represented by canonical ownership, fields, and relations.",codex-axiom-migration-reviewer,accepted
