entity_id,decision,selected_source_ids,rejected_source_ids,rationale,reviewer,status
orchestration-plane,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-langgraph-graph-api"",""eng-fw-openai-orchestration"",""lit-agent-orchestrationbench""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
adapter-plane,retain canonical record source set and convert it into direct scoped claims,"[""eng-proto-a2a-docs"",""eng-proto-a2a-spec"",""eng-proto-mcp-spec"",""eng-val-jsonschema-spec""]","[""eng-ont-fibo-ontology-guide""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
feedback-plane,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-openai-tracing"",""lit-agent-conductor"",""lit-mech-reflexion"",""lit-mech-self-refine""]","[""eng-fw-langsmith-docs"",""eng-fw-openai-guardrails""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
memory-plane,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-agent-agemem"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-deepagents-js-docs"",""eng-fw-langgraph-docs""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
memory-ingestion,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""eng-fw-langgraph-docs"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langchain-agents"",""lit-agent-memexrl""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
memory-chunking-situating,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""eng-fw-langchain-agents"",""lit-agent-memexrl"",""lit-mech-compass""]","[""lit-mas-generative-agents""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
memory-embedding-indexes,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-agent-magma"",""lit-agent-memexrl"",""lit-mech-compass""]","[""lit-mas-generative-agents""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
memory-retrieval-ranking,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-langchain-agents"",""lit-agent-ama-bench"",""lit-agent-magma"",""lit-mech-compass""]","[""lit-mas-generative-agents""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
memory-context,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-deepagents-js-docs"",""lit-agent-memory-as-action"",""lit-mas-generative-agents"",""lit-mech-compass""]","[""eng-fw-langchain-agents""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
orchestration-actors-delegation,retain canonical record source set and convert it into direct scoped claims,"[""eng-fw-crewai-docs"",""eng-fw-langgraph-docs"",""lit-agent-conductor""]","[""eng-fw-deepagents-js-docs"",""eng-fw-openai-handoffs"",""eng-fw-openai-tools""]",The frozen canonical record was the published ownership source; definition-ledger-only IDs were not silently promoted to direct evidence.,codex-source-drift-reviewer,accepted
