"concept_id","current_domain_id","current_module_id","current_label_zh","current_semantic_kind","current_primary_parent_relation_id","current_depth","current_root_status","lexical_family","definition_family","decision","target_domain_id","target_module_id","proposed_label_zh","proposed_semantic_kind","proposed_primary_parent_relation_id","proposed_backbone_relation_id","convert_to_field_of","convert_to_allowed_value_of","merge_into_id","split_into_ids","required_relation_changes","owner_rationale","source_ids","positive_example_id","boundary_example_id","domain_reviewer","ontology_reviewer","language_reviewer","review_status"
"AgencyBenchAdapter","adapter-plane","adapter-benchmarks","AgencyBench 适配器","capability","AgencyBenchAdapter-is_a-BenchmarkAdapter","2","","AgencyBench 适配器","capability","keep","adapter-plane","adapter-benchmarks","AgencyBench 适配器","capability","AgencyBenchAdapter-is_a-BenchmarkAdapter","AgencyBenchAdapter-is_a-BenchmarkAdapter","","","","","reviewed without relation replacement","基准映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-bench-agencybench|lit-bench-agencybench","AgencyBenchAdapter-example-positive-001","AgencyBenchAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"AppWorldAdapter","adapter-plane","adapter-benchmarks","AppWorld 适配器","capability","AppWorldAdapter-is_a-BenchmarkAdapter","2","","AppWorld 适配器","capability","keep","adapter-plane","adapter-benchmarks","AppWorld 适配器","capability","AppWorldAdapter-is_a-BenchmarkAdapter","AppWorldAdapter-is_a-BenchmarkAdapter","","","","","reviewed without relation replacement","基准映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-bench-appworld|lit-bench-appworld","AppWorldAdapter-example-positive-001","AppWorldAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"BenchmarkAdapter","adapter-plane","adapter-benchmarks","基准适配器","capability","BenchmarkAdapter-is_a-Adapter","1","","基准适配器","capability","keep","adapter-plane","adapter-benchmarks","基准适配器","capability","BenchmarkAdapter-is_a-Adapter","","","","","","reviewed without relation replacement","基准映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-bench-appworld|eng-bench-osworld-site","BenchmarkAdapter-example-positive-001","BenchmarkAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"OSWorldAdapter","adapter-plane","adapter-benchmarks","OSWorld 适配器","capability","OSWorldAdapter-is_a-BenchmarkAdapter","2","","OSWorld 适配器","capability","keep","adapter-plane","adapter-benchmarks","OSWorld 适配器","capability","OSWorldAdapter-is_a-BenchmarkAdapter","OSWorldAdapter-is_a-BenchmarkAdapter","","","","","reviewed without relation replacement","基准映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-bench-osworld-repo|eng-bench-osworld-site","OSWorldAdapter-example-positive-001","OSWorldAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SWEBenchAdapter","adapter-plane","adapter-benchmarks","SWE-bench 适配器","capability","SWEBenchAdapter-is_a-BenchmarkAdapter","2","","SWE-bench 适配器","capability","keep","adapter-plane","adapter-benchmarks","SWE-bench 适配器","capability","SWEBenchAdapter-is_a-BenchmarkAdapter","SWEBenchAdapter-is_a-BenchmarkAdapter","","","","","reviewed without relation replacement","基准映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-bench-swebench-repo|eng-bench-swebench-site","SWEBenchAdapter-example-positive-001","SWEBenchAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Tau2Adapter","adapter-plane","adapter-benchmarks","tau2 适配器","capability","Tau2Adapter-is_a-BenchmarkAdapter","2","","tau2 适配器","capability","keep","adapter-plane","adapter-benchmarks","tau2 适配器","capability","Tau2Adapter-is_a-BenchmarkAdapter","Tau2Adapter-is_a-BenchmarkAdapter","","","","","reviewed without relation replacement","基准映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-bench-tau2|eng-bench-tau2-verified","Tau2Adapter-example-positive-001","Tau2Adapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TerminalBenchAdapter","adapter-plane","adapter-benchmarks","Terminal-Bench 适配器","capability","TerminalBenchAdapter-is_a-BenchmarkAdapter","2","","Terminal-Bench 适配器","capability","keep","adapter-plane","adapter-benchmarks","Terminal-Bench 适配器","capability","TerminalBenchAdapter-is_a-BenchmarkAdapter","TerminalBenchAdapter-is_a-BenchmarkAdapter","","","","","reviewed without relation replacement","基准映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-bench-terminal|eng-bench-terminal-21","TerminalBenchAdapter-example-positive-001","TerminalBenchAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"CrewAIAdapter","adapter-plane","adapter-frameworks","CrewAI 适配器","capability","CrewAIAdapter-is_a-FrameworkAdapter","2","","CrewAI 适配器","capability","keep","adapter-plane","adapter-frameworks","CrewAI 适配器","capability","CrewAIAdapter-is_a-FrameworkAdapter","CrewAIAdapter-is_a-FrameworkAdapter","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-agents|eng-fw-crewai-docs","CrewAIAdapter-example-positive-001","CrewAIAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"DeepAgentsAdapter","adapter-plane","adapter-frameworks","Deep Agents 适配器","capability","DeepAgentsAdapter-is_a-FrameworkAdapter","2","","Deep Agents 适配器","capability","keep","adapter-plane","adapter-frameworks","Deep Agents 适配器","capability","DeepAgentsAdapter-is_a-FrameworkAdapter","DeepAgentsAdapter-is_a-FrameworkAdapter","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-docs|eng-fw-deepagents-js-docs","DeepAgentsAdapter-example-positive-001","DeepAgentsAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"FrameworkAdapter","adapter-plane","adapter-frameworks","框架适配器","capability","FrameworkAdapter-is_a-Adapter","1","","框架适配器","capability","keep","adapter-plane","adapter-frameworks","框架适配器","capability","FrameworkAdapter-is_a-Adapter","","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-docs|eng-fw-deepagents-docs","FrameworkAdapter-example-positive-001","FrameworkAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"FrameworkHandoffMapping","adapter-plane","adapter-frameworks","框架移交映射","specification","FrameworkHandoffMapping-is_a-FrameworkMapping","3","","框架移交映射","specification","keep","adapter-plane","adapter-frameworks","框架移交映射","specification","FrameworkHandoffMapping-is_a-FrameworkMapping","FrameworkHandoffMapping-is_a-FrameworkMapping","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-crewai-flows|eng-fw-langgraph-docs","FrameworkHandoffMapping-example-positive-001","FrameworkHandoffMapping-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"FrameworkMapping","adapter-plane","adapter-frameworks","框架映射规则","specification","FrameworkMapping-is_a-MappingRule","2","","框架映射","specification","keep","adapter-plane","adapter-frameworks","框架映射规则","specification","FrameworkMapping-is_a-MappingRule","FrameworkMapping-applies_to_adapter-FrameworkAdapter","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-python-docs","FrameworkMapping-example-positive-001","FrameworkMapping-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"FrameworkTraceMapping","adapter-plane","adapter-frameworks","框架轨迹映射","specification","FrameworkTraceMapping-is_a-FrameworkMapping","3","","框架轨迹映射","specification","keep","adapter-plane","adapter-frameworks","框架轨迹映射","specification","FrameworkTraceMapping-is_a-FrameworkMapping","FrameworkTraceMapping-is_a-FrameworkMapping","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-openai-python-docs","FrameworkTraceMapping-example-positive-001","FrameworkTraceMapping-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LangChainAdapter","adapter-plane","adapter-frameworks","LangChain 适配器","capability","LangChainAdapter-is_a-FrameworkAdapter","2","","LangChain 适配器","capability","keep","adapter-plane","adapter-frameworks","LangChain 适配器","capability","LangChainAdapter-is_a-FrameworkAdapter","LangChainAdapter-is_a-FrameworkAdapter","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|eng-fw-langchain-repo","LangChainAdapter-example-positive-001","LangChainAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"LangGraphAdapter","adapter-plane","adapter-frameworks","LangGraph 适配器","capability","LangGraphAdapter-is_a-FrameworkAdapter","2","","LangGraph 适配器","capability","keep","adapter-plane","adapter-frameworks","LangGraph 适配器","capability","LangGraphAdapter-is_a-FrameworkAdapter","LangGraphAdapter-is_a-FrameworkAdapter","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langgraph-docs|eng-fw-langgraph-graph-api","LangGraphAdapter-example-positive-001","LangGraphAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"MicrosoftAgentFrameworkAdapter","adapter-plane","adapter-frameworks","Microsoft Agent Framework 适配器","capability","MicrosoftAgentFrameworkAdapter-is_a-FrameworkAdapter","2","","Microsoft Agent Framework 适配器","capability","keep","adapter-plane","adapter-frameworks","Microsoft Agent Framework 适配器","capability","MicrosoftAgentFrameworkAdapter-is_a-FrameworkAdapter","MicrosoftAgentFrameworkAdapter-is_a-FrameworkAdapter","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-microsoft-agent-framework-current|eng-fw-microsoft-agent-framework-docs","MicrosoftAgentFrameworkAdapter-example-positive-001","MicrosoftAgentFrameworkAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"OpenAIAgentsAdapter","adapter-plane","adapter-frameworks","OpenAI Agents 适配器","capability","OpenAIAgentsAdapter-is_a-FrameworkAdapter","2","","OpenAI Agents 适配器","capability","keep","adapter-plane","adapter-frameworks","OpenAI Agents 适配器","capability","OpenAIAgentsAdapter-is_a-FrameworkAdapter","OpenAIAgentsAdapter-is_a-FrameworkAdapter","","","","","reviewed without relation replacement","框架映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-openai-handoffs|eng-fw-openai-python-docs","OpenAIAgentsAdapter-example-positive-001","OpenAIAgentsAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Adapter","adapter-plane","adapter-mapping-infrastructure","适配器","capability","","0","unreviewed-v2-root","适配器","capability","keep","adapter-plane","adapter-mapping-infrastructure","适配器","capability","","","","","","","reviewed without relation replacement","映射规则与验证按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-spec|eng-proto-mcp-spec","Adapter-example-positive-001","Adapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"ConversionWarning","adapter-plane","adapter-mapping-infrastructure","转换警告","information","ConversionWarning-is_a-MappingArtifact","1","","转换警告","information","keep","adapter-plane","adapter-mapping-infrastructure","转换警告","information","ConversionWarning-is_a-MappingArtifact","ConversionWarning-is_a-MappingArtifact","","","","","reviewed without relation replacement","映射规则与验证按 identity、semantic kind 和主问题唯一拥有该概念。","eng-val-pydantic-json-schema|eng-val-shacl","ConversionWarning-example-positive-001","ConversionWarning-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"CoverageReport","adapter-plane","adapter-mapping-infrastructure","映射覆盖报告","information","CoverageReport-is_a-MappingArtifact","1","","映射覆盖报告","information","keep","adapter-plane","adapter-mapping-infrastructure","映射覆盖报告","information","CoverageReport-is_a-MappingArtifact","CoverageReport-is_a-MappingArtifact","","","","","reviewed without relation replacement","映射规则与验证按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-fibo-repo|eng-val-jsonschema-test-suite","CoverageReport-example-positive-001","CoverageReport-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"MappingArtifact","adapter-plane","adapter-mapping-infrastructure","映射信息产物","information","","0","unreviewed-v2-root","映射信息产物","information","keep","adapter-plane","adapter-mapping-infrastructure","映射信息产物","information","","MappingRule-specifies-MappingArtifact","","","","","reviewed without relation replacement","映射规则与验证按 identity、semantic kind 和主问题唯一拥有该概念。","eng-ont-fibo-repo|eng-val-jsonschema-test-suite","MappingArtifact-example-positive-001","MappingArtifact-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"MappingRule","adapter-plane","adapter-mapping-infrastructure","映射规则","specification","MappingRule-is_a-MappingArtifact","1","","映射","specification","reparent","adapter-plane","adapter-mapping-infrastructure","映射规则","specification","","MappingRule-governs-Adapter","","","","","owner/backbone updated in source","映射规则与验证按 identity、semantic kind 和主问题唯一拥有该概念。","eng-val-jsonschema-spec|eng-val-jsonschema-spec","MappingRule-example-positive-001","MappingRule-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"MappingTestResult","adapter-plane","adapter-mapping-infrastructure","映射测试结果","information","MappingTestResult-is_a-MappingArtifact","1","","映射测试","information","keep","adapter-plane","adapter-mapping-infrastructure","映射测试结果","information","MappingTestResult-is_a-MappingArtifact","MappingTestResult-is_a-MappingArtifact","","","","","reviewed without relation replacement","映射规则与验证按 identity、semantic kind 和主问题唯一拥有该概念。","eng-state-xstate-scxml|eng-val-jsonschema-test-suite","MappingTestResult-example-positive-001","MappingTestResult-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"A2AAdapter","adapter-plane","adapter-protocols","A2A 适配器","capability","A2AAdapter-is_a-ProtocolAdapter","3","","A2A 适配器","capability","keep","adapter-plane","adapter-protocols","A2A 适配器","capability","A2AAdapter-is_a-ProtocolAdapter","A2AAdapter-is_a-ProtocolAdapter","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-a2a-docs|eng-proto-a2a-js","A2AAdapter-example-positive-001","A2AAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"FIPAAdapter","adapter-plane","adapter-protocols","FIPA 适配器","capability","FIPAAdapter-is_a-ProtocolAdapter","3","","FIPA 适配器","capability","keep","adapter-plane","adapter-protocols","FIPA 适配器","capability","FIPAAdapter-is_a-ProtocolAdapter","FIPAAdapter-is_a-ProtocolAdapter","","","","","reviewed without relation replacement","协议映射按 identity、semantic kind 和主问题唯一拥有该概念。","eng-proto-fipa-acl|eng-proto-fipa-act","FIPAAdapter-example-positive-001","FIPAAdapter-example-boundary-001","moonweave-adapter-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
