"id","area","title","source_type","priority","url","normalized_class","normalized_version_or_date","last_checked","normalization_status","note"
"eng-bench-agencybench","benchmark","AgencyBench","repo","A","https://github.com/GAIR-NLP/AgencyBench","living-repo","GitHub GAIR-NLP/AgencyBench main@ec65324be69e; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-agentbench","benchmark","AgentBench","repo","A","https://github.com/THUDM/AgentBench","living-repo","GitHub THUDM/AgentBench main@d1e4a10db08c; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-agentcompany","benchmark","TheAgentCompany","repo","B","https://github.com/TheAgentCompany/TheAgentCompany","living-repo","GitHub TheAgentCompany/TheAgentCompany main@98b68ef82a47; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-ainativebench","benchmark","AINativeBench","repo","B","https://github.com/AINativeOps/AINativeBench","living-repo","GitHub AINativeOps/AINativeBench main@25542e822421; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-androidworld","benchmark","AndroidWorld","repo","B","https://github.com/google-research/android_world","living-repo","GitHub google-research/android_world main@d9c569f764b3; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-appworld","benchmark","AppWorld","repo","A","https://github.com/StonyBrookNLP/appworld","living-repo","GitHub StonyBrookNLP/appworld main@a072b7a86e7c; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-browsergym","benchmark","BrowserGym","repo","A","https://github.com/ServiceNow/BrowserGym","living-repo","GitHub ServiceNow/BrowserGym main@9e779f087de9; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-gaia","benchmark","GAIA dataset","dataset","A","https://huggingface.co/datasets/gaia-benchmark/GAIA","living-dataset","Hugging Face dataset sha 682dd723ee1e; lastModified 2025-10-28T14:44:54.000Z; checked 2026-06-30","2026-06-30","normalized","Hugging Face dataset metadata captured from official Hub API."
"eng-bench-mind2web","benchmark","Mind2Web","repo","B","https://github.com/OSU-NLP-Group/Mind2Web","living-repo","GitHub OSU-NLP-Group/Mind2Web main@33bd95caeee7; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-osworld-repo","benchmark","OSWorld repo","repo","A","https://github.com/xlang-ai/OSWorld","living-repo","GitHub xlang-ai/OSWorld main@83e8534451ba; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-osworld-site","benchmark","OSWorld site","official-site","A","https://os-world.github.io/","living-doc","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-bench-swebench-repo","benchmark","SWE-bench repo","repo","A","https://github.com/SWE-bench/SWE-bench","living-repo","GitHub SWE-bench/SWE-bench main@f7bbbb2ccdf4; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-swebench-site","benchmark","SWE-bench leaderboard","official-site","A","https://www.swebench.com/","living-doc","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-bench-tau","benchmark","tau-bench","repo","A","https://github.com/sierra-research/tau-bench","living-repo","GitHub sierra-research/tau-bench main@59a200c6d575; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-tau2","benchmark","tau2/tau3-bench","repo","A","https://github.com/sierra-research/tau2-bench","living-repo","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-bench-terminal","benchmark","Terminal-Bench","repo","A","https://github.com/harbor-framework/terminal-bench","living-repo","GitHub harbor-framework/terminal-bench main@1a6ffa9674b5; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-terminal-21","benchmark","Terminal-Bench 2.1","repo","A","https://github.com/harbor-framework/terminal-bench-2-1","living-repo","GitHub harbor-framework/terminal-bench-2-1 main@c5ee500c1852; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-visualagentbench","benchmark","VisualAgentBench","repo","B","https://github.com/THUDM/VisualAgentBench","living-repo","GitHub THUDM/VisualAgentBench main@9055fc299c36; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-visualwebarena","benchmark","VisualWebArena","project","A","https://jykoh.com/vwa","living-project-site","VisualWebArena project site; checked 2026-06-30","2026-06-30","normalized","Project site is versionless; benchmark adapter should pin dataset/repo separately if normative."
"eng-bench-webarena","benchmark","WebArena","project","A","https://webarena.dev","living-project-site","WebArena project site; checked 2026-06-30","2026-06-30","normalized","Project site is versionless; benchmark adapter should pin dataset/repo separately if normative."
"eng-bench-webvoyager","benchmark","WebVoyager","repo","B","https://github.com/MinorJerry/WebVoyager","living-repo","GitHub MinorJerry/WebVoyager main@5a7896738c10; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-workarena","benchmark","WorkArena","repo","B","https://github.com/ServiceNow/WorkArena","living-repo","GitHub ServiceNow/WorkArena main@a772230a94cf; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-bench","browser-agent","browser-use benchmark","repo","B","https://github.com/browser-use/benchmark","living-repo","GitHub browser-use/benchmark main@dff86d1a3213; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-docs","browser-agent","browser-use docs","official-doc","A","https://docs.browser-use.com/open-source/introduction","living-doc","browser-use docs current; checked 2026-06-30","2026-06-30","normalized","Official browser-use docs are versionless living docs; cite with last_checked date."
"eng-agent-browser-use-repo","browser-agent","browser-use","repo","A","https://github.com/browser-use/browser-use","living-repo","GitHub browser-use/browser-use main@2454d3e25517; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-webui","browser-agent","browser-use web-ui","repo","B","https://github.com/browser-use/web-ui","living-repo","GitHub browser-use/web-ui main@61962296c38a; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-midscene","browser-agent","Midscene","repo","B","https://github.com/web-infra-dev/Midscene","living-repo","GitHub web-infra-dev/Midscene main@937ce787a177; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-stagehand","browser-agent","Browserbase Stagehand","repo","B","https://github.com/browserbase/stagehand","living-repo","GitHub browserbase/stagehand main@871ca7e305f4; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-tangle-browser-driver","browser-agent","agent-browser-driver","repo","C","https://github.com/tangle-network/agent-browser-driver","living-repo","GitHub tangle-network/agent-browser-driver main@a2055b2e7a7e; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-weboperator","browser-agent","WebOperator","repo","B","https://github.com/kagnlp/WebOperator","living-repo","GitHub kagnlp/WebOperator main@36a88e0da5f4; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
