"semantic_key","cq_id","primary_owner_module_id","related_module_ids","question_zh","reviewer","review_status"
"adapter-benchmarks.task-environment-mapping","adapter-benchmarks-cq-task-environment-mapping-v3","adapter-benchmarks","runtime-system","指定基准版本的任务和环境分别对应哪些核心目标、约束与运行环境？","moonweave-ontology-structure-reviewer","accepted"
"adapter-benchmarks.score-interpretation","adapter-benchmarks-cq-score-interpretation-v3","adapter-benchmarks","feedback-metrics-evaluation","一个基准得分应解释为哪项 Metric 的哪次 Measurement，量纲和方向是否兼容？","moonweave-ontology-structure-reviewer","accepted"
"adapter-benchmarks.trajectory-provenance","adapter-benchmarks-cq-trajectory-provenance-v3","adapter-benchmarks","runtime-observability","基准轨迹映射为 Trace 后，能否保留原始样本、步骤顺序和结果的来源链？","moonweave-ontology-structure-reviewer","accepted"
"adapter-frameworks.construct-equivalence","adapter-frameworks-cq-construct-equivalence-v3","adapter-frameworks","orchestration-composition","给定框架版本中的节点或团队构造，它对应哪个核心组合、角色或任务概念？","moonweave-ontology-structure-reviewer","accepted"
"adapter-frameworks.lifecycle-difference","adapter-frameworks-cq-lifecycle-difference-v3","adapter-frameworks","runtime-system","框架运行对象的生命周期与核心 RuntimeSession 有哪些状态对应和不可映射差异？","moonweave-ontology-structure-reviewer","accepted"
"adapter-frameworks.no-shadow-taxonomy","adapter-frameworks-cq-no-shadow-taxonomy-v3","adapter-frameworks","adapter-mapping-infrastructure","框架映射是否只保留必要端点，而没有复制一套与核心概念竞争的影子分类树？","moonweave-ontology-structure-reviewer","accepted"
"adapter-mapping-infrastructure.rule-applicability","adapter-mapping-infrastructure-cq-rule-applicability-v3","adapter-mapping-infrastructure","adapter-frameworks","给定源概念、目标概念和版本约束，哪些已接受映射规则实际适用？","moonweave-ontology-structure-reviewer","accepted"
"adapter-mapping-infrastructure.coverage-gap","adapter-mapping-infrastructure-cq-coverage-gap-v3","adapter-mapping-infrastructure","adapter-schema-export","一次映射验证后，哪些必需语义没有目标对应，哪些对应被判定为有损？","moonweave-ontology-structure-reviewer","accepted"
"adapter-mapping-infrastructure.adapter-specialization","adapter-mapping-infrastructure-cq-adapter-specialization-v3","adapter-mapping-infrastructure","adapter-protocols","每个具体适配器能否沿分类骨架回到 Adapter，而不会把规则、执行记录或报告误当成适配器？","moonweave-ontology-structure-reviewer","accepted"
"adapter-protocols.versioned-construct-mapping","adapter-protocols-cq-versioned-construct-mapping-v3","adapter-protocols","tool-mcp-transport","某协议版本中的一个构造对应哪些核心概念和关系，兼容范围到哪一版？","moonweave-ontology-structure-reviewer","accepted"
"adapter-protocols.message-behavior-gap","adapter-protocols-cq-message-behavior-gap-v3","adapter-protocols","info-messages-instructions","协议消息行为映射到核心 Message 时，哪些必需行为被保留，哪些只能记录为差异？","moonweave-ontology-structure-reviewer","accepted"
"adapter-protocols.participant-role-separation","adapter-protocols-cq-participant-role-separation-v3","adapter-protocols","runtime-actors","协议参与者如何对应运行主体，而不会把协议角色直接定义成永久 Actor 类型？","moonweave-ontology-structure-reviewer","accepted"
"adapter-schema-export.constraint-projection","adapter-schema-export-cq-constraint-projection-v3","adapter-schema-export","adapter-mapping-infrastructure","某个 canonical 约束在指定目标格式中如何表达，是否存在不可表达部分？","moonweave-ontology-structure-reviewer","accepted"
"adapter-schema-export.round-trip-loss","adapter-schema-export-cq-round-trip-loss-v3","adapter-schema-export","runtime-artifacts","导出后再导入能否恢复原概念、关系方向、基数和受控值，损失具体在哪里？","moonweave-ontology-structure-reviewer","accepted"
"adapter-schema-export.artifact-lineage","adapter-schema-export-cq-artifact-lineage-v3","adapter-schema-export","runtime-artifacts","一个导出文件由哪个 canonical 版本、投影配置和导出活动生成？","moonweave-ontology-structure-reviewer","accepted"
"adapter-statecharts.transition-guard-mapping","adapter-statecharts-cq-transition-guard-mapping-v3","adapter-statecharts","orchestration-routing-control","一条带事件和守卫的状态迁移分别对应哪些核心条件、决定与状态变化？","moonweave-ontology-structure-reviewer","accepted"
"adapter-statecharts.parallel-history-loss","adapter-statecharts-cq-parallel-history-loss-v3","adapter-statecharts","runtime-system","并行区域或历史状态映射到核心会话状态时，会丢失哪些恢复语义？","moonweave-ontology-structure-reviewer","accepted"
"adapter-statecharts.event-instance-separation","adapter-statecharts-cq-event-instance-separation-v3","adapter-statecharts","runtime-observability","状态图中的事件类型与运行时实际发生的事件实例是否保持清晰区分？","moonweave-ontology-structure-reviewer","accepted"
"feedback-logging.record-lineage","feedback-logging-cq-record-lineage-v3","feedback-logging","runtime-observability","某条日志记录来自哪个原始事件或测量，经过哪个流分区和 Sink 到达当前存储？","moonweave-ontology-structure-reviewer","accepted"
"feedback-logging.audit-integrity","feedback-logging-cq-audit-integrity-v3","feedback-logging","safety-commit-redaction","审计日志在指定区间内是否连续且未被篡改，缺口或校验失败在哪里？","moonweave-ontology-structure-reviewer","accepted"
"feedback-logging.export-completeness","feedback-logging-cq-export-completeness-v3","feedback-logging","feedback-metrics-evaluation","一个遥测导出批次是否包含请求窗口内全部应导出的记录、测量引用和追踪引用？","moonweave-ontology-structure-reviewer","accepted"
"feedback-metrics-evaluation.measurement-provenance","feedback-metrics-evaluation-cq-measurement-provenance-v3","feedback-metrics-evaluation","feedback-logging","一个测量值由哪项 Metric、哪次 EvaluationRun、哪个数据切片和哪个被评对象产生？","moonweave-ontology-structure-reviewer","accepted"
"feedback-metrics-evaluation.criterion-verdict","feedback-metrics-evaluation-cq-criterion-verdict-v3","feedback-metrics-evaluation","orchestration-evaluation","给定一组测量，哪个判据产生通过、失败或不确定结论，阈值如何应用？","moonweave-ontology-structure-reviewer","accepted"
"feedback-metrics-evaluation.comparable-runs","feedback-metrics-evaluation-cq-comparable-runs-v3","feedback-metrics-evaluation","adapter-benchmarks","两次评估运行的分数是否可直接比较，还是指标版本、数据切片或聚合方法不同？","moonweave-ontology-structure-reviewer","accepted"
"feedback-optimization-learning.signal-aggregation","feedback-optimization-learning-cq-signal-aggregation-v3","feedback-optimization-learning","feedback-metrics-evaluation","哪些跨运行测量和审查结果共同形成一个学习信号，聚合窗口和权重是什么？","moonweave-ontology-structure-reviewer","accepted"
"feedback-optimization-learning.proposal-justification","feedback-optimization-learning-cq-proposal-justification-v3","feedback-optimization-learning","feedback-review-optimization","一项变更提案针对哪个优化目标，预期收益、风险和反证分别是什么？","moonweave-ontology-structure-reviewer","accepted"
"feedback-optimization-learning.governed-application","feedback-optimization-learning-cq-governed-application-v3","feedback-optimization-learning","safety-commit-redaction","哪些已批准提案可以进入实际变更，哪些因权限、风险或证据不足而保持待定？","moonweave-ontology-structure-reviewer","accepted"
"feedback-review-optimization.finding-disposition","feedback-review-optimization-cq-finding-disposition-v3","feedback-review-optimization","feedback-optimization-learning","某条 Finding 当前由谁负责，已接受、驳回、纠正还是等待复验？","moonweave-ontology-structure-reviewer","accepted"
"feedback-review-optimization.correction-verification","feedback-review-optimization-cq-correction-verification-v3","feedback-review-optimization","feedback-warning-error","一项纠正是否真正消除了原问题，哪次复验证据支持关闭决定？","moonweave-ontology-structure-reviewer","accepted"
"feedback-review-optimization.review-reopen","feedback-review-optimization-cq-review-reopen-v3","feedback-review-optimization","feedback-metrics-evaluation","哪些新证据足以重开已关闭审查，重开后沿用还是新建 Finding？","moonweave-ontology-structure-reviewer","accepted"
"feedback-warning-error.signal-to-failure","feedback-warning-error-cq-signal-to-failure-v3","feedback-warning-error","runtime-observability","哪些原始观测被同一次诊断解释为症状，并支持了哪个故障事件？","moonweave-ontology-structure-reviewer","accepted"
"feedback-warning-error.mode-versus-occurrence","feedback-warning-error-cq-mode-versus-occurrence-v3","feedback-warning-error","runtime-execution-attempts","一个失败是可重复的 FailureMode，还是某次执行中的 FailureEvent？","moonweave-ontology-structure-reviewer","accepted"
"feedback-warning-error.resolution-evidence","feedback-warning-error-cq-resolution-evidence-v3","feedback-warning-error","feedback-review-optimization","某项处置为何可标记为已解决，修复后有哪些复验结果支持它？","moonweave-ontology-structure-reviewer","accepted"
"info-container-command.ordered-output","info-container-command-cq-ordered-output-v3","info-container-command","runtime-execution-attempts","某次执行的 stdout 与 stderr 分块按各自序号重组后分别是什么，是否存在缺块？","moonweave-ontology-structure-reviewer","accepted"
"info-container-command.exit-status-evidence","info-container-command-cq-exit-status-evidence-v3","info-container-command","feedback-warning-error","退出码、终止信号和完成时间共同支持哪个退出状态观测，是否足以判定成功或失败？","moonweave-ontology-structure-reviewer","accepted"
"info-container-command.context-admission","info-container-command-cq-context-admission-v3","info-container-command","memory-context","哪些执行观测被接纳进某个上下文版本，选择范围、截断和来源引用是什么？","moonweave-ontology-structure-reviewer","accepted"
"info-content-block-modality.block-classification","info-content-block-modality-cq-block-classification-v3","info-content-block-modality","info-messages-instructions","给定 MIME 类型、编码和结构字段，一个内容块应归入哪个最具体的已接受类型？","moonweave-ontology-structure-reviewer","accepted"
"info-content-block-modality.message-containment","info-content-block-modality-cq-message-containment-v3","info-content-block-modality","info-messages-instructions","一条消息包含哪些有序内容块，每个块的形式是什么，而消息本身为何不是 ContentBlock？","moonweave-ontology-structure-reviewer","accepted"
"info-content-block-modality.attachment-integrity","info-content-block-modality-cq-attachment-integrity-v3","info-content-block-modality","info-storage-sources","文件附件块的媒体类型、长度和摘要是否与它引用的来源对象一致？","moonweave-ontology-structure-reviewer","accepted"
"info-indexing.session-candidate-provenance","info-indexing-cq-session-candidate-provenance-v3","info-indexing","memory-context","某次上下文发现返回了哪些候选，每项来自哪里、匹配了什么查询条件？","moonweave-ontology-structure-reviewer","accepted"
"info-indexing.light-index-view","info-indexing-cq-light-index-view-v3","info-indexing","memory-embedding-indexes","一个 LightIndex 引用了哪个持久索引版本和范围，它是否错误地声明了独立分片或构建生命周期？","moonweave-ontology-structure-reviewer","accepted"
"info-indexing.discovery-versus-retrieval","info-indexing-cq-discovery-versus-retrieval-v3","info-indexing","memory-retrieval-ranking","一个候选结果属于会话内发现，还是属于带索引版本、融合和重排证据的持久检索？","moonweave-ontology-structure-reviewer","accepted"
"info-messages-instructions.conversation-order","info-messages-instructions-cq-conversation-order-v3","info-messages-instructions","runtime-system","一个会话的轮次和消息按什么顺序排列，是否存在重复位置或断裂前驱？","moonweave-ontology-structure-reviewer","accepted"
"info-messages-instructions.message-role-envelope","info-messages-instructions-cq-message-role-envelope-v3","info-messages-instructions","tool-mcp-transport","某条消息由谁发送、采用什么角色，并位于哪个协议或会话包络中？","moonweave-ontology-structure-reviewer","accepted"
"info-messages-instructions.context-reference","info-messages-instructions-cq-context-reference-v3","info-messages-instructions","memory-context","一条消息引用了哪个不可变 ContextPackage，引用发生在发送前的哪个上下文版本？","moonweave-ontology-structure-reviewer","accepted"
"info-output-disclosure.visible-fragments","info-output-disclosure-cq-visible-fragments-v3","info-output-disclosure","runtime-artifacts","某个运行结果向指定受众实际显示了哪些片段，哪些被截断或抑制？","moonweave-ontology-structure-reviewer","accepted"
"info-output-disclosure.window-application","info-output-disclosure-cq-window-application-v3","info-output-disclosure","memory-context","首尾窗口或长度窗口如何应用到内容片段，实际边界与不可变上下文版本有何关系？","moonweave-ontology-structure-reviewer","accepted"
"info-output-disclosure.policy-to-display","info-output-disclosure-cq-policy-to-display-v3","info-output-disclosure","safety-disclosure-redaction","一项安全披露决定如何改变最终显示，安全变换和实际披露是否都有独立证据？","moonweave-ontology-structure-reviewer","accepted"
