"id","corpus","area","title","url","year","source_type","priority","status","why_it_matters","source_file"
"eng-bench-agencybench","engineering","benchmark","AgencyBench","https://github.com/GAIR-NLP/AgencyBench","","repo","A","search-verified","1M-token long-horizon benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-agentbench","engineering","benchmark","AgentBench","https://github.com/THUDM/AgentBench","","repo","A","search-verified","Multi-environment agent benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-appworld","engineering","benchmark","AppWorld","https://github.com/StonyBrookNLP/appworld","","repo","A","known-primary","App/API execution benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-browsergym","engineering","benchmark","BrowserGym","https://github.com/ServiceNow/BrowserGym","","repo","A","known-primary","Browser agent benchmark infrastructure.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-gaia","engineering","benchmark","GAIA dataset","https://huggingface.co/datasets/gaia-benchmark/GAIA","","dataset","A","known-primary","General assistant benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-osworld-repo","engineering","benchmark","OSWorld repo","https://github.com/xlang-ai/OSWorld","","repo","A","search-verified","Real computer environment.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-osworld-site","engineering","benchmark","OSWorld site","https://os-world.github.io/","","official-site","A","search-verified","OSWorld-Verified and results.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-swebench-repo","engineering","benchmark","SWE-bench repo","https://github.com/SWE-bench/SWE-bench","","repo","A","search-verified","Real-world software issue benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-swebench-site","engineering","benchmark","SWE-bench leaderboard","https://www.swebench.com/","","official-site","A","search-verified","Current variants and leaderboard.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-tau","engineering","benchmark","tau-bench","https://github.com/sierra-research/tau-bench","","repo","A","search-verified","Original tau-bench; now outdated.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-tau2","engineering","benchmark","tau2/tau3-bench","https://github.com/sierra-research/tau2-bench","","repo","A","search-verified","Current tau benchmark with voice/knowledge/task fixes.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-terminal","engineering","benchmark","Terminal-Bench","https://github.com/harbor-framework/terminal-bench","","repo","A","search-verified","Terminal task execution harness.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-terminal-21","engineering","benchmark","Terminal-Bench 2.1","https://github.com/harbor-framework/terminal-bench-2-1","","repo","A","search-verified","Verified benchmark iteration.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-visualwebarena","engineering","benchmark","VisualWebArena","https://jykoh.com/vwa","","project","A","known-primary","Visual web benchmark.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-bench-webarena","engineering","benchmark","WebArena","https://webarena.dev","","project","A","known-primary","Web agent environment.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-browser-use-docs","engineering","browser-agent","browser-use docs","https://docs.browser-use.com/open-source/introduction","","official-doc","A","search-verified","Open-source browser agent docs.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-browser-use-repo","engineering","browser-agent","browser-use","https://github.com/browser-use/browser-use","","repo","A","search-verified","Browser automation agent framework.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-agent-playwright-mcp","engineering","browser-tooling","Playwright MCP","https://github.com/microsoft/playwright-mcp","","repo","A","known-primary","Browser automation exposed over MCP.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-mini-swe-agent","engineering","coding-agent","mini-SWE-agent","https://github.com/SWE-agent/mini-swe-agent","","repo","A","known-primary","Minimal coding agent scaffold.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-openhands-docs","engineering","coding-agent","OpenHands docs","https://docs.openhands.dev/","","official-doc","A","search-verified","Coding agent SDK, GUI, cloud/local runtime.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-openhands-repo","engineering","coding-agent","OpenHands/OpenHands","https://github.com/OpenHands/OpenHands","","repo","A","search-verified","Self-hosted coding agent control center.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-openhands-sdk","engineering","coding-agent","OpenHands software-agent-sdk","https://github.com/OpenHands/software-agent-sdk","","repo","A","search-verified","Core agent SDK and server.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-code-swe-agent-repo","engineering","coding-agent","SWE-agent","https://github.com/SWE-agent/SWE-agent","","repo","A","known-primary","SWE-bench agent scaffold and harness.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-google-adk-docs-repo","engineering","docs","google/adk-docs","https://github.com/google/adk-docs","","repo","A","search-verified","Official docs repo and llms.txt context.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-autogen-agentchat","engineering","framework","AutoGen AgentChat docs","https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/index.html","","official-doc","A","known-primary","Conversational multi-agent surface.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-autogen-docs","engineering","framework","AutoGen docs","https://microsoft.github.io/autogen/","","official-doc","A","known-primary","AgentChat/Core framework docs.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-autogen-repo","engineering","framework","microsoft/autogen","https://github.com/microsoft/autogen","","repo","A","known-primary","Current AutoGen implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-agents","engineering","framework","CrewAI agents","https://docs.crewai.com/concepts/agents","","official-doc","A","known-primary","Agent role, goal, backstory, tools.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-docs","engineering","framework","CrewAI docs","https://docs.crewai.com/","","official-doc","A","known-primary","Role/task/crew/process abstraction.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-flows","engineering","framework","CrewAI flows","https://docs.crewai.com/concepts/flows","","official-doc","A","known-primary","Event-driven orchestration.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-repo","engineering","framework","crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","","repo","A","known-primary","Maintained framework implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-crewai-tasks","engineering","framework","CrewAI tasks","https://docs.crewai.com/concepts/tasks","","official-doc","A","known-primary","Task contract and expected outputs.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-dspy-docs","engineering","framework","DSPy docs","https://dspy.ai/","","official-doc","A","known-primary","Declarative LM programs and optimization.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-google-adk-docs","engineering","framework","Google ADK docs","https://google.github.io/adk-docs/","","official-doc","A","search-verified","Agent, workflow, task, deployment.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-google-adk-repo","engineering","framework","google/adk-python","https://github.com/google/adk-python/","","repo","A","search-verified","ADK 2.0 workflow runtime and task API.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-langchain-agents","engineering","framework","LangChain agents","https://docs.langchain.com/oss/python/langchain/agents","","official-doc","A","search-verified","Agent loop, middleware, structured output, context.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-llamaindex-agents","engineering","framework","LlamaIndex agents docs","https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/","","official-doc","A","known-primary","Agent deployment and tool/RAG integration.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-mastra-docs","engineering","framework","Mastra docs","https://mastra.ai/","","official-doc","A","search-verified","TypeScript agents, workflows, memory, observability.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-microsoft-agent-framework-current","engineering","framework","microsoft/agent-framework","https://github.com/microsoft/agent-framework","","repo","A","search-verified","Current repo metadata, release cadence, and multi-language workflow evidence.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-agents-guide","engineering","framework","OpenAI Agents guide","https://developers.openai.com/api/docs/guides/agents","","official-doc","A","known-primary","Current OpenAI agent development surface.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-agents-js","engineering","framework","openai-agents-js","https://github.com/openai/openai-agents-js","","repo","A","search-verified","JavaScript/TypeScript Agents SDK implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-agents-release","engineering","framework","openai-agents-python releases","https://github.com/openai/openai-agents-python/releases","","repo/release","A","search-verified","Release cadence and version evidence for Agents SDK.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-handoffs","engineering","framework","OpenAI handoffs docs","https://openai.github.io/openai-agents-python/handoffs/","","official-doc","A","known-primary","Delegation ownership transfer.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-js-repo","engineering","framework","openai-agents-js","https://github.com/openai/openai-agents-js","","repo","A","known-primary","TypeScript agent SDK implementation.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-orchestration","engineering","framework","OpenAI orchestration and handoffs","https://developers.openai.com/api/docs/guides/agents/orchestration","","official-doc","A","fetched","Handoffs versus agents-as-tools.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-python-docs","engineering","framework","OpenAI Agents SDK Python docs","https://openai.github.io/openai-agents-python/","","official-doc","A","fetched","Agents, tools, handoffs, guardrails, tracing.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-python-repo","engineering","framework","openai-agents-python","https://github.com/openai/openai-agents-python/","","repo","A","fetched","Current repo metadata and release cadence.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
"eng-fw-openai-tools","engineering","framework","OpenAI tools docs","https://openai.github.io/openai-agents-python/tools/","","official-doc","A","known-primary","Function/MCP/hosted tools and agents-as-tools.","research/source-notes/phase-0b-expanded-engineering-corpus.md"
