"Node","Path","Positive","Counterexample","Boundary","Instance"
"safety-plane","node.yaml","mcp_consent","mcp_oauth","nist_zta","openai_hitl"
"safety-injection-defense","safety-injection-defense\node.yaml","echoleak","owasp_direct","greshake_bing","openai_guardrail"
"PromptInjectionSignal","safety-injection-defense\ThreatSignal\PromptInjectionSignal\node.yaml","owasp_direct","lakera","simon_willison","rebuff"
"IndirectInjectionSignal","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\node.yaml","echoleak","greshake_bing","cve_email_assistant","owasp_direct"
"ToolStreamInjectionSignal","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\ToolStreamInjectionSignal\node.yaml","cve_email_assistant","greshake_bing","mcp_oauth","lakera"
"MemoryPoisoningSignal","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\MemoryPoisoningSignal\node.yaml","greshake_bing","echoleak","simon_willison","nemo"
"PersistentContextRisk","safety-injection-defense\ThreatSignal\PersistentContextRisk\node.yaml","greshake_bing","echoleak","simon_willison","owasp_direct"
"ThreatSignal","safety-injection-defense\ThreatSignal\node.yaml","owasp_direct","echoleak","lakera","greshake_bing"
"DefenseFinding","safety-injection-defense\DefenseFinding\node.yaml","lakera","nemo","rebuff","openai_guardrail"
"InjectionScanResult","safety-injection-defense\DefenseFinding\InjectionScanResult\node.yaml","lakera","rebuff","nemo","owasp_direct"
"InstructionConflict","safety-injection-defense\DefenseFinding\InstructionConflict\node.yaml","greshake_bing","owasp_direct","simon_willison","echoleak"
"ToolDescriptionTrust","safety-injection-defense\DefenseFinding\ToolDescriptionTrust\node.yaml","mcp_oauth","simon_willison","greshake_bing","owasp_direct"
"DetectionActivity","safety-injection-defense\DetectionActivity\node.yaml","lakera","rebuff","nemo","openai_guardrail"
"PatternScan","safety-injection-defense\DetectionActivity\PatternScan\node.yaml","rebuff","lakera","nemo","owasp_direct"
"PreExecutionSafetyCheck","safety-injection-defense\DetectionActivity\PreExecutionSafetyCheck\node.yaml","openai_guardrail","nemo","lakera","owasp_direct"
"MitigationAction","safety-injection-defense\MitigationAction\node.yaml","nemo","openai_guardrail","echoleak","greshake_bing"
"QuarantineAction","safety-injection-defense\MitigationAction\QuarantineAction\node.yaml","echoleak","greshake_bing","nemo","openai_guardrail"
"SanitizationAction","safety-injection-defense\MitigationAction\SanitizationAction\node.yaml","nemo","presidio","openai_guardrail","greshake_bing"
"TrustedInstructionOverride","safety-injection-defense\MitigationAction\TrustedInstructionOverride\node.yaml","openai_guardrail","nemo","owasp_direct","simon_willison"
"PoisonedContent","safety-injection-defense\PoisonedContent\node.yaml","greshake_bing","echoleak","cve_email_assistant","owasp_direct"
"PoisonedRetrievedChunk","safety-injection-defense\PoisonedContent\PoisonedRetrievedChunk\node.yaml","greshake_bing","echoleak","simon_willison","owasp_direct"
"PoisonedToolDescription","safety-injection-defense\PoisonedContent\PoisonedToolDescription\node.yaml","mcp_oauth","simon_willison","greshake_bing","owasp_direct"
"MaliciousToolOutput","safety-injection-defense\PoisonedContent\MaliciousToolOutput\node.yaml","cve_email_assistant","echoleak","greshake_bing","mcp_oauth"
"ResourceContentPoisoning","safety-injection-defense\ResourceContentPoisoning\node.yaml","greshake_bing","echoleak","simon_willison","owasp_direct"
"ToolSchemaPoisoning","safety-injection-defense\ResourceContentPoisoning\ToolSchemaPoisoning\node.yaml","mcp_oauth","simon_willison","greshake_bing","owasp_direct"
"UntrustedInstructionCandidate","safety-injection-defense\UntrustedInstructionCandidate\node.yaml","owasp_direct","greshake_bing","lakera","simon_willison"
"InjectionSignature","safety-injection-defense\InjectionSignature\node.yaml","rebuff","lakera","owasp_direct","nemo"
"UnsafeArgumentPattern","safety-injection-defense\InjectionSignature\UnsafeArgumentPattern\node.yaml","owasp_direct","lakera","rebuff","nemo"
"TaintedSource","safety-injection-defense\TaintEntity\TaintedSource\node.yaml","greshake_bing","echoleak","cve_email_assistant","owasp_direct"
"TaintedSpan","safety-injection-defense\TaintEntity\TaintedSpan\node.yaml","echoleak","greshake_bing","presidio","owasp_direct"
"TaintPropagation","safety-injection-defense\TaintPropagation\node.yaml","greshake_bing","echoleak","simon_willison","openai_guardrail"
