"Id","Status","Path","Ex","SF","SynFalse","SynTrue","Real","Dup"
"safety-plane","NEEDS","node.yaml","3","2","2","0","True","1"
"safety-injection-defense","NEEDS","safety-injection-defense\node.yaml","4","2","2","0","True","1"
"PromptInjectionSignal","NEEDS","safety-injection-defense\ThreatSignal\PromptInjectionSignal\node.yaml","3","4","4","0","True","2"
"IndirectInjectionSignal","NEEDS","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\node.yaml","3","4","4","0","True","2"
"ToolStreamInjectionSignal","NEEDS","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\ToolStreamInjectionSignal\node.yaml","3","4","4","0","True","2"
"MemoryPoisoningSignal","NEEDS","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\MemoryPoisoningSignal\node.yaml","3","4","4","0","True","2"
"PersistentContextRisk","NEEDS","safety-injection-defense\ThreatSignal\PersistentContextRisk\node.yaml","3","4","4","0","True","2"
"ThreatSignal","NEEDS","safety-injection-defense\ThreatSignal\node.yaml","0","4","4","0","True","2"
"DefenseFinding","NEEDS","safety-injection-defense\DefenseFinding\node.yaml","0","4","4","0","True","2"
"InjectionScanResult","NEEDS","safety-injection-defense\DefenseFinding\InjectionScanResult\node.yaml","3","4","4","0","True","2"
"InstructionConflict","NEEDS","safety-injection-defense\DefenseFinding\InstructionConflict\node.yaml","3","4","4","0","True","2"
"ToolDescriptionTrust","NEEDS","safety-injection-defense\DefenseFinding\ToolDescriptionTrust\node.yaml","3","4","4","0","True","2"
"DetectionActivity","NEEDS","safety-injection-defense\DetectionActivity\node.yaml","3","2","2","0","True","1"
"PatternScan","NEEDS","safety-injection-defense\DetectionActivity\PatternScan\node.yaml","3","2","2","0","True","1"
"PreExecutionSafetyCheck","NEEDS","safety-injection-defense\DetectionActivity\PreExecutionSafetyCheck\node.yaml","3","2","2","0","True","1"
"MitigationAction","NEEDS","safety-injection-defense\MitigationAction\node.yaml","0","4","4","0","True","2"
"QuarantineAction","NEEDS","safety-injection-defense\MitigationAction\QuarantineAction\node.yaml","3","4","4","0","True","2"
"SanitizationAction","NEEDS","safety-injection-defense\MitigationAction\SanitizationAction\node.yaml","3","4","4","0","True","2"
"TrustedInstructionOverride","NEEDS","safety-injection-defense\MitigationAction\TrustedInstructionOverride\node.yaml","3","4","4","0","True","2"
"PoisonedContent","NEEDS","safety-injection-defense\ResourceContentPoisoning\PoisonedContent\node.yaml","2","2","0","2","True","2"
"PoisonedRetrievedChunk","NEEDS","safety-injection-defense\ResourceContentPoisoning\PoisonedContent\PoisonedRetrievedChunk\node.yaml","2","2","0","2","True","2"
"PoisonedToolDescription","NEEDS","safety-injection-defense\ResourceContentPoisoning\PoisonedContent\PoisonedToolDescription\node.yaml","2","2","0","2","True","2"
"MaliciousToolOutput","NEEDS","safety-injection-defense\ResourceContentPoisoning\PoisonedContent\MaliciousToolOutput\node.yaml","2","2","0","2","True","2"
"ResourceContentPoisoning","NEEDS","safety-injection-defense\ResourceContentPoisoning\node.yaml","3","2","2","0","True","1"
"ToolSchemaPoisoning","NEEDS","safety-injection-defense\ResourceContentPoisoning\ToolSchemaPoisoning\node.yaml","3","2","2","0","True","1"
"UntrustedInstructionCandidate","NEEDS","safety-injection-defense\UntrustedInstructionCandidate\node.yaml","0","4","4","0","True","2"
"InjectionSignature","NEEDS","safety-injection-defense\InjectionSignature\node.yaml","3","2","2","0","True","1"
"UnsafeArgumentPattern","NEEDS","safety-injection-defense\InjectionSignature\UnsafeArgumentPattern\node.yaml","3","2","2","0","True","1"
"TaintEntity","NEEDS","safety-injection-defense\TaintEntity\node.yaml","3","0","0","0","True","1"
"TaintedSource","NEEDS","safety-injection-defense\TaintEntity\TaintedSource\node.yaml","3","2","2","0","True","1"
"TaintedSpan","NEEDS","safety-injection-defense\TaintEntity\TaintedSpan\node.yaml","3","2","2","0","True","1"
"TaintPropagation","NEEDS","safety-injection-defense\TaintPropagation\node.yaml","3","2","2","0","True","1"
"SourceSinkFlow","NEEDS","safety-injection-defense\SourceSinkFlow\node.yaml","3","2","2","0","True","1"
"RiskFlowRole","NEEDS","safety-injection-defense\SourceSinkFlow\RiskFlowRole\node.yaml","2","2","0","2","True","2"
"RiskSource","NEEDS","safety-injection-defense\SourceSinkFlow\RiskFlowRole\RiskSource\node.yaml","2","2","0","2","True","2"
"RiskSink","NEEDS","safety-injection-defense\SourceSinkFlow\RiskFlowRole\RiskSink\node.yaml","2","2","0","2","True","2"
"safety-permission-policy","NEEDS","safety-permission-policy\node.yaml","4","2","2","0","True","1"
"PolicySpecification","NEEDS","safety-permission-policy\PolicySpecification\node.yaml","3","2","2","0","True","1"
"PolicyRule","NEEDS","safety-permission-policy\PolicySpecification\PolicyRule\node.yaml","3","2","2","0","True","1"
"PolicyCondition","NEEDS","safety-permission-policy\PolicySpecification\PolicyRule\PolicyCondition\node.yaml","3","2","2","0","True","1"
"PolicyEffect","NEEDS","safety-permission-policy\PolicySpecification\PolicyRule\PolicyEffect\node.yaml","3","2","2","0","True","1"
"PolicyException","NEEDS","safety-permission-policy\PolicySpecification\PolicyRule\PolicyException\node.yaml","3","2","2","0","True","1"
