"id","area","title","year","source_type","url","venue_upgrade_status","counts_as_top_venue","last_checked","note"
"lit-mech-elpo","agentic-rl","Error-Localized Policy Optimization for Tool-Integrated LLM Reasoning","2026","ACL","https://aclanthology.org/2026.acl-long.504/","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-react","agent-loop","ReAct: Synergizing Reasoning and Acting","2023","ICLR","https://openreview.net/attachment?id=tvI4u1ylcqs&name=pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-reflexion","agent-loop","Reflexion: Language Agents with Verbal Reinforcement Learning","2023","NeurIPS","https://ar5iv.labs.arxiv.org/html/2303.11366","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-self-refine","agent-loop","Self-Refine: Iterative Refinement with Self-Feedback","2023","NeurIPS","https://arxiv.org/pdf/2303.17651","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-survey-agentic-llms","agent-survey","Agentic Large Language Models, a survey","2025","survey","https://arxiv.org/abs/2503.23037v2","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-survey-language-to-action","agent-survey","From Language to Action","2026","survey","https://link.springer.com/article/10.1007/s10462-025-11471-9","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-mas-factored-agents","architecture","Factored Agents","2025","COLM","https://www.arxiv.org/pdf/2503.22931v1","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-agencybench","benchmark","AgencyBench","2026","ACL","https://github.com/GAIR-NLP/AgencyBench","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-agentbench","benchmark","AgentBench","2024","ICLR","https://github.com/THUDM/AgentBench","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-agentcompany","benchmark","TheAgentCompany","2025","NeurIPS","https://arxiv.org/abs/2412.14161","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-appworld","benchmark","AppWorld","2024","ACL","https://d6108366.hf-mirror.com/papers/2407.18901","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-deepresearch","benchmark","Ready For General Agents? Let's Test It","2026","ICLR blogpost","https://iclr-blogposts.github.io/2026/blog/2026/general-agent-evaluation/","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-bench-executable-suite","benchmark","Executable Benchmarking Suite for Tool-Using Agents","2026","paper","https://arxiv.org/html/2605.11030v1","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-bench-gaia","benchmark","GAIA","2023","ICLR","https://arxiv.org/abs/2311.12983","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-osworld","benchmark","OSWorld","2024","NeurIPS","https://github.com/xlang-ai/OSWorld","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-realm","benchmark","REALM-Bench","2025","paper","https://arxiv.org/pdf/2502.18836v1","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-bench-swebench","benchmark","SWE-bench","2024","ICLR Oral","https://github.com/SWE-bench/SWE-bench","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-swebench-mm","benchmark","SWE-bench Multimodal","2025","ICLR","https://github.com/SWE-bench/SWE-bench","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-tau","benchmark","tau-bench","2024","paper","https://arxiv.org/abs/2406.12045","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-bench-tau2","benchmark","tau2-bench","2025","paper","https://arxiv.org/abs/2506.07982","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-bench-terminal","benchmark","Terminal-Bench","2026","paper/repo","https://github.com/harbor-framework/terminal-bench","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-bench-visualwebarena","benchmark","VisualWebArena","2024","ACL","https://jykoh.com/vwa","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-bench-webarena","benchmark","WebArena","2024","ICLR","https://webarena.dev","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
