individual_id,current_class_id,classification,target_node_id,target_field_id,target_example_id,action,rationale,reviewer,status
AdapterA2A,AdapterFamily,controlled_value,Adapter,adapter_family,,attached to Adapter.adapter_family.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
AdapterCrewAI,AdapterFamily,controlled_value,Adapter,adapter_family,,attached to Adapter.adapter_family.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
AdapterDeepAgents,AdapterFamily,controlled_value,Adapter,adapter_family,,attached to Adapter.adapter_family.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
AdapterFIPA,AdapterFamily,controlled_value,Adapter,adapter_family,,attached to Adapter.adapter_family.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
AdapterKQML,AdapterFamily,controlled_value,Adapter,adapter_family,,attached to Adapter.adapter_family.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
AdapterLangGraph,AdapterFamily,controlled_value,Adapter,adapter_family,,attached to Adapter.adapter_family.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
AdapterMCP,AdapterFamily,controlled_value,Adapter,adapter_family,,attached to Adapter.adapter_family.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
AdapterOpenAIAgents,AdapterFamily,controlled_value,Adapter,adapter_family,,attached to Adapter.adapter_family.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
DecisionAllow,DecisionKind,controlled_value,PolicyDecision,decision_kind,,attached to PolicyDecision.decision_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
DecisionDeny,DecisionKind,controlled_value,PolicyDecision,decision_kind,,attached to PolicyDecision.decision_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
DecisionEscalate,DecisionKind,controlled_value,PolicyDecision,decision_kind,,attached to PolicyDecision.decision_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
DecisionRedact,DecisionKind,controlled_value,PolicyDecision,decision_kind,,attached to PolicyDecision.decision_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
DecisionSandbox,DecisionKind,controlled_value,PolicyDecision,decision_kind,,attached to PolicyDecision.decision_kind.allowed_values,"The record denotes a reusable enumerated value, not a separately navigable Concept or ABox individual.",codex-individual-migration-reviewer,accepted
Individual_adapter_benchmarks,ModuleIndividual,governance_metadata,adapter-benchmarks,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_adapter_frameworks,ModuleIndividual,governance_metadata,adapter-frameworks,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
Individual_adapter_mapping_infrastructure,ModuleIndividual,governance_metadata,adapter-mapping-infrastructure,,,"merged into Module status, review, and change metadata",This legacy record represented Module governance metadata rather than a runtime individual.,codex-individual-migration-reviewer,accepted
